global_step,episode,episode_return,episode_length,policy_loss,value_loss,entropy,kl,eval_return
136585,637,500.0,500,,,,,
137085,638,500.0,500,,,,,
137216,639,,,-0.0005297888623317703,74.68456580638886,0.5677392406389117,0.0021342940342414522,
137585,639,500.0,500,,,,,
138085,640,500.0,500,,,,,
138585,641,500.0,500,,,,,
138980,642,395.0,395,,,,,
139264,643,,,4.089859139639884e-05,73.54699652194977,0.5576109452173114,0.003110010937064103,
139480,643,500.0,500,,,,,
139980,644,500.0,500,,,,,
140147,645,167.0,167,,,,,
140647,646,500.0,500,,,,,
140920,647,273.0,273,,,,,
141312,648,,,-0.0015040087222587318,72.07974404096603,0.562984961271286,0.0023848624421624843,500.0
141420,648,500.0,500,,,,,
141920,649,500.0,500,,,,,
142420,650,500.0,500,,,,,
142920,651,500.0,500,,,,,
143126,652,206.0,206,,,,,
143360,653,,,-0.0023951971728820355,72.13265407085419,0.5643484689295292,0.004030611550854267,
143626,653,500.0,500,,,,,
144126,654,500.0,500,,,,,
144626,655,500.0,500,,,,,
145126,656,500.0,500,,,,,
145408,657,,,-0.0012418135534971952,73.0335081577301,0.5622003726661206,0.0034846833698143564,
145626,657,500.0,500,,,,,
146094,658,468.0,468,,,,,
146594,659,500.0,500,,,,,
147094,660,500.0,500,,,,,
147456,661,,,-0.00498216156847775,72.31984856128693,0.5573829328641295,0.006343418839162868,
